date,Usage_power_total,product_1,product_2,product_total,Temp.,Humidity
2017-01-01,"6,095.70",0,0,0,1.1,73
2017-01-02,"9,962.15",19399.4,1411,20810.4,2.5,67
2017-01-03,"11,196.00",20456.6,1802,22258.6,4.1,56
2017-01-04,"12,146.23",20003.6,2092,22095.6,4.3,67.58333333
2017-01-05,"12,156.81",20256.1,2026,22282.1,2.3,71.54166667
2017-01-06,"12,567.21",20458.6,2066,22524.6,0.9,75.79166667
2017-01-07,"11,841.19",17333.7,2088,19421.7,1,72.45833333
2017-01-08,"6,546.90",0,0,0,6.7,62.33333333
2017-01-09,"9,958.82",18491.9,1311,19802.9,3.5,51.08333333
2017-01-10,"12,070.07",20206.2,1745,21951.2,-1.6,40.58333333
2017-01-11,"12,078.71",20755.1,1764,22519.1,-3.4,44.70833333
2017-01-12,"12,381.87",21009.5,1918,22927.5,-0.9,46.95833333
2017-01-13,"12,024.22",19412.9,1835,21247.9,-4.2,49.125
2017-01-14,"11,443.10",12643.5,2350,14993.5,-7.7,31.75
2017-01-15,"6,781.83",0,0,0,-5.9,40.33333333
2017-01-16,"10,089.11",19928.2,1484,21412.2,-5.3,55.29166667
2017-01-17,"11,383.14",21477.9,1628,23105.9,-4.4,56.04166667
2017-01-18,"11,031.70",20447.5,1846,22293.5,0.4,60.79166667
2017-01-19,"11,124.90",20612.3,1899,22511.3,-1.1,59.41666667
2017-01-20,"11,368.53",19848.2,2148,21996.2,-3.1,66.95833333
2017-01-21,"10,283.66",13025.8,2266,15291.8,-4.5,62.91666667
2017-01-22,"6,249.72",0,0,0,-6.1,46.08333333
2017-01-23,"9,597.00",17539.4,1961,19500.4,-8,46.83333333
2017-01-24,"11,331.72",19952.9,2101,22053.9,-6,45.20833333
2017-01-25,"11,524.37",20369.6,1874,22243.6,-6.1,44.33333333
2017-01-26,"8,305.55",19944.7,2711,22655.7,-4.6,48.79166667
2017-01-27,,0,0,0,-0.6,42.54166667
2017-01-28,,0,0,0,-1.8,46.70833333
2017-01-29,537.83,0,0,0,1.8,70.29166667
2017-01-30,"9,685.61",14779.2,1472,16251.2,-2.8,67.45833333
2017-01-31,"11,352.30",20055.1,1938,21993.1,-4.9,48.54166667
2017-02-01,"11,311.85",18162.2,1940,20102.2,-2,41.375
2017-02-02,"11,955.66",18855,1681,20536,-2.2,45.70833333
2017-02-03,"11,611.42",21744.3,1884,23628.3,0.6,54.875
2017-02-04,"9,007.21",0,1791,1791,1.7,46.41666667
2017-02-05,"4,412.99",0,0,0,3.4,53.33333333
2017-02-06,"9,159.38",16935.9,1420,18355.9,-0.6,53.125
2017-02-07,"11,424.64",17775.2,1940,19715.2,-2.7,58.29166667
2017-02-08,"10,983.51",18326.2,1934,20260.2,-1,43.33333333
2017-02-09,"11,269.16",18310.7,2099,20409.7,-3.9,44.75
2017-02-10,"11,121.55",19557.8,2198,21755.8,-6,41.91666667
2017-02-11,"6,864.59",0,0,0,-4.8,47.58333333
2017-02-12,"3,350.91",0,0,0,-1.4,47
2017-02-13,"9,072.56",15832.8,1697,17529.8,-0.3,57.08333333
