month,Temp. ave.,Humidity ave.,product_1,product_2,product_total,Usage_power_1,Usage_power_2,Usage_power_total,Usage_LNG_1,Usage_LNG_2,Usage_LNG_total
2017-01-01,-1.7,56,458,197,655,131076,208894,339970,30701,40601,71302
2017-02-01,0.1,52,345,180,525,126691,165730,292421,2,60063,60065
2017-03-01,5.3,51,451,236,687,108115,153727,261842,0,74865,74865
2017-04-01,13.3,50,408,220,628,134957,215309,350266,0,68629,68629
2017-05-01,18.3,53,474,224,698,122889,236801,359690,850,66621,67471
2017-06-01,21.2,59,458,196,654,139723,259740,399463,3788,60659,64447
2017-07-01,24.9,80,353,179,532,,,,229,52571,52800
2017-08-01,23.8,78,426,214,640,159553,237327,396880,0,63114,63114
2017-09-01,18.4,74,492,197,689,164397,258803,423200,0,71470,71470
2017-10-01,13.7,74,366,171,537,136707,218239,354946,0,60119,60119
2017-11-01,4.6,59,437,196,633,125740,207692,333432,7,60930,60937
2017-12-01,-2.5,53,315,159,474,111738,168192,279930,27650,29998,57648
2018-01-01,-3.9,52,396,194,590,109181,143497,252678,0,71215,71215
2018-02-01,-1.6,40,310,147,457,124207,170640,294847,19909,36374,56283
2018-03-01,7.3,58,359,169,528,103580,138852,242432,23323,36259,59582
2018-04-01,12.8,54,462,191,653,128239,198871,327110,617,72160,72777
2018-05-01,17.1,66,517,192,709,153807,223877,377684,0,72504,72504
2018-06-01,21.9,63,507,172,679,173440,257508,430948,581,64052,64633
2018-07-01,26,72,488,173,661,185610,255916,441526,0,65911,65911
2018-08-01,25.3,74,446,185,631,203853,234374,438227,89,62405,62494
2018-09-01,18.2,74,489,162,651,202025,254512,456537,1342,65770,67112
2018-10-01,11,69,514,193,707,158875,198713,357588,47,74919,74966
2018-11-01,5.8,68,537,170,707,166997,214114,381111,1111,77563,78674
2018-12-01,-1,55,466,164,630,152050,176248,328298,0,75155,75155
2019-01-01,-1.5,49,492,168,660,155016,158156,313172,7127,78351,85478
2019-02-01,1.1,52,357,120,477,144634,153115,297749,15519,46772,62291
2019-03-01,6,56,490,158,648,122169,149825,271994,70124,20,70144
2019-04-01,11.1,56,557,163,720,157997,198137,356134,44971,29054,74025
2019-05-01,18.1,51,522,159,681,173369,228909,402278,7591,63812,71403
2019-06-01,20.9,68,450,141,591,177112,237579,414691,14070,52448,66518
2019-07-01,23.6,77,493,162,655,175154,211723,386877,10437,53782,64219
2019-08-01,24.5,75,466,152,618,191909,235750,427659,1278,61268,62546
2019-09-01,20.1,78,444,139,583,173729,226109,399838,0,61833,61833
2019-10-01,13.9,72,531,165,696,164520,208621,373141,0,71778,71778
2019-11-01,6.5,67,474,180,654,162834,219686,382520,16268,56476,72744
2019-12-01,0.5,65,428,134,562,140854,183765,324619,13490,53901,67391
2020-01-01,1.4,67,436,145,581,128672,155866,284538,21408,45057,66465
2020-02-01,2.1,65,320,116,436,119671,166651,286322,19686,36530,56216
2020-03-01,7.2,57,380,137,517,115459,153403,268862,22259,41124,63383
2020-04-01,10.3,50,462,146,608,117266,174715,291981,1737,68271,70008
2020-05-01,17.1,69,377,112,489,131594,189720,321314,14030,44025,58055
2020-06-01,22.5,72,398,128,526,148442,197755,346197,4,56418,56422
2020-07-01,21.7,87,424,120,544,157334,207971,365305,4359,58533,62892
2020-08-01,25,89,381,131,512,176624,224063,400687,2251,50599,52850
2020-09-01,18.7,81,444,142,586,170230,212458,382688,4892,58247,63139
2020-10-01,12.1,70,407,127,534,148327,173837,322164,6005,52381,58386
2020-11-01,6.9,65,401,113,514,,,,,,
2020-12-01,-1.2,57,466,128,594,,,,,,
2021-01-01,-3,59,428,93,521,142674,136613,279287,,,
2021-02-01,1.9,55,430,90,520,139753,132329,272082,,,
2021-03-01,8,65,,,,133877,133697,267574,,,
