Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2017,2018,2019,2020,2021,2022,2023,2024,Estimates Start After
Afghanistan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",636.693,582.323,586.204,580.817,591.667,614.991,624.1,630.714,2019
Albania,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,542.76","5,284.44","5,323.19","5,286.68","5,991.09","6,414.39","6,895.50","7,379.46",2019
Algeria,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,079.65","4,118.74","3,939.54","3,262.58","3,363.97","3,278.13","3,222.88","3,183.39",2019
Angola,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,303.69","3,620.59","2,974.13","2,012.15","2,080.35","2,081.71","2,149.72","2,239.90",2017
Antigua and Barbuda,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","15,655.23","16,860.96","17,195.46","14,168.26","13,824.22","15,548.97","16,618.54","17,704.92",2011
Argentina,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","14,618.33","11,624.89","9,890.31","8,554.64","9,121.56","9,391.04","9,707.69","10,013.43",2019
Armenia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,868.91","4,195.96","4,604.77","4,155.27","4,125.33","4,362.14","4,725.94","5,121.07",2015
Aruba,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","27,838.91","28,694.90","29,813.78","21,832.92","22,851.99","25,995.41","28,723.79","31,427.68",2017
Australia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","55,914.69","56,465.24","54,464.06","52,824.82","62,723.50","65,183.15","67,474.30","69,484.49",2019
Austria,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","47,317.91","51,246.15","50,246.61","48,154.38","53,859.01","57,279.45","59,518.22","61,733.39",2019
